trapzoid
 ,»ý·ÖÖµ,Îó²î,Îó²î½×
k=0,1.40514,-1.825007e+00,
k=1,-1.743887e-01,-2.454793e-01,2.894229e+00
k=2,-3.637188e-01,-5.614914e-02,2.128265e+00
k=3,-4.061106e-01,-1.375739e-02,2.029056e+00
k=4,-4.164455e-01,-3.422469e-03,2.007098e+00
k=5,-4.190134e-01,-8.545714e-04,2.001764e+00
k=6,-4.196544e-01,-2.135776e-04,2.000440e+00
k=7,-4.198146e-01,-5.339033e-05,2.000110e+00
k=8,-4.198546e-01,-1.334733e-05,2.000028e+00
k=9,-4.198646e-01,-3.336816e-06,2.000007e+00
k=10,-4.198671e-01,-8.342031e-07,2.000002e+00
k=11,-4.198678e-01,-2.085507e-07,2.000000e+00
k=12,-4.198679e-01,-5.213767e-08,2.000000e+00
